name,picture,text
fati,B4,A photo i took during lunchbreak today. Im so glad that we can walk 5 minutes to this spot for getting out of the dense city climate for a few minutes. Really helps staying motivated on a long workday-
fati,B5,A small teaser from the place at which we'll have a gig tonight. Its gonna be an oudoor concert so we hope that the weather holds. Now going to swim in the beautiful lake so we're ready for the evening  see you there!
fati,B6,Such an unreal view of the Vierwaldstättersee! We keep on getting the most beautiful weathers on our hikes and it definitely pays off getting up so early in order to reach the top at noon for these pictures. Picture is from my friend Jeff  thanks you for letting me share it.
geha,B1,High mountains. Alps. Majestic. Romantic. Dramatic lighting. Human-made infrastructure.
geha,B2,City. Traffic. Construction work. Sunny. Cranes. Crossroads.
geha,B3,Glacial lake. Landslides. Greenery. Summer. Nature.
geha,B4,Zurich. City. Lake. Panorama view. Beautiful. Summer. Blue sky. Post-card feeling. Switzerland.
geha,B5,Lakeside. Colourful flowers. Mood. Vacation. Mountains. Summer. Blue sky. Ferris wheel. Grand hotels.
geha,B6,Vierwaldst„ttersee. Switzerland. Lake. Nature. Panorama view. Standing at the top. Fairytale setting. Four seasons in one picture.
grbi,B1,What a lovely day in the mountains  blue sky and a clear view of the stunning landscape. Great temperatur for hiking and enjoing a picknick in the grass
grbi,B2,Chilled afternoon on the rooftop terrasse  blending out the loud noise created by the city. A lot of construction is going on  but thats nothing new in the city
grbi,B3,Blue water  as clear as the sky  shadows darkening the surface of the lake. View from my hike around the mountains  where I came acress this remote lake and went for a swim
grbi,B4,Before breakfast  short bikeride up the hill to soak up some sun. Amazing view from the lookout point Waid  alsways worth the climb. What a start in to the day
grbi,B5,Looking at lovely flowers during my lunch at the lake.The variety of colors is just breathtaking. The ride in the ferris wheel was great fun.
grbi,B6,Central Switzerland  what an absolute beautiful place. Great for sailing and swimming in the summer. Enjoyed a boat ride across  bevor hiking the mountain for this epic picture.
lexu,B1,Splendid natural scene  mountain and snow  feel relaxed  would recommand it to my friends.
lexu,B2,A combination of modern elements and classic building styles in this city.
lexu,B3,It is one of the greatest valley I have ever been  I really enjoy the lake and the mountain  btw  the weather is also fine.
lexu,B4,The city fits well in the nature  the residents can have a high-quality life living here with rivers and mountains. It is a good place to take a walk  I think it will be attractive to visitors.
lexu,B5,Looks like the paradise  I really like waterfront buildings  and I will invite my friends to go for a hiking here this afternoon.
lexu,B6,A place I am eager to explore  it seems that there are many intertesing things in different islands. And I think this is a place suitable for taking photos
mast,B1,A beautiful alpine landscape. There are high mountains with snow cover. It's a wonderful place to hike.
mast,B2,An urban area with a roof landscape. The high building produce shadows on the ground. The sky is clear and it looks like a it's a sunny day in La-Chaux-de-Fonds.
mast,B3,A small lake in the middle of mountains. This location clearly looks like a typical instagram hotspot  maybe like Seealpsee. The blue water in connection with the green of the land around it is just beautiful.
mast,B4,This view shows a bigger city. The lake and the mountains in the background are clearly visible. The picture was maybe shot during the summer.
mast,B5,This picture reminds me of a trip to Montreux. The lake may be the Lac Leman in the western part of switzerland. There is some fog above the river Rhone in the background.
mast,B6,A beatuiful view from the Pilatus over the Lake Lucerne. There is a nice hiking route to climb this mountain. This picture shows the heart of switzerland.
mast2,B1,Once again a beautiful day in the Swiss alps where we got the opportunity to go for a quite exciting hike. Luckily  we made it back home before a terrible storm started. It was raining cats and dogs in the evening.
mast2,B2,Although it's very exhausting from time to time (especially if the tram is overcrowded)  having a workplace in the middle of the city is fun overall  especially when your company is on the 6th floor. What a view that is! #views
mast2,B3,I feel like I only realise how beautiful our nature is when I take the unconventional route. It's kind of a shame that I take things for granted just cause they got 'normal'. This picture was taken in Summer 19 before all the strange city people in sneakers suddenly appeared in very uncommon terrain during the start of the pandemic.
mast2,B4,Found a new spot for my scenic photography project. Thanks to @swissphotography  my camera was protected by their awesome new case with an integrated GPS. Make sure to follow @swissphotography to win professional photo equipment and start shooting like a pro! #werbung
mast2,B5,May I share the most beautiful place I've seen in a while? This is a small beautiful city in Switzerland. It was so much fun to enjoy that beautiful view in last spring. Had a fantastic pizza afterwards  need to get back there asap!
mast2,B6,Look at that! Isn't that a stunning view? As much as I wished to be able to fly sometimes  such moments make me feel like a bird set free and I start to forget all the pressure  stress and responsibilities I have during other situations. Some say nature was medicine  well I get that now! Wow!
mava,B1,Beautiful Landscape with mountains and green land on a beautiful day.
mava,B2,City view on an autumn day with some skyline.
mava,B3,Beautiful landscape with a lake surrounded by mountains  perfect for hiking.
mava,B4,Perfect view to Zurich  which combines lake and city.
mava,B5,A cold day at the lake with beautiful colorful flowers and a beautiful view to the city in the southern part of Switzerland.
mava,B6,Panorama view to the Lake Lucerne from the top.
miyu,B1,Astonishing view of the mountains  an interesting transaction between summer and winter  greenness and snow
miyu,B2,well-organized but boring city view with lanes and buildings  just like living in the busy city  it brings pressure
miyu,B3,comforting view of valley with lake and plants  love the blueish-green color of the lake  which makes me calm
miyu,B4,whole view of the entire city underneath  the feeling of freedom and being a conqueror
miyu,B5,colorful plants  calm water  city besides the lake  what is the view on the other side of the mountain?
miyu,B6,you have to reach the top to see the views beneath  and you have to work hard before you become the top
mizu,B1,A beautiful mountain landscape spreads to the horizon. Barren surfaces nestle on the mountain no trees  no shrubs only mountain meadows and stiff rock
mizu,B2,The big city - like a jungle - stretches to the horizon. Tall towers break through the ground-level patchwork. Like an organism  the city is always in flux.
mizu,B3,An idyllic patch of land in the barren mountain landscape opens up before us. A mountain lake with crystal clear water invites you to cool down. This place is suitable to make a break.
mizu,B4,A city landscape blends in with the greenery of the surrounding countryside. In the distance tower the mighty mountains of the Alps and contrasts the warm colors in the foreground with a cool blue and white note in the distance.
mizu,B5,Bright sunshine in the Alps. The colors are warm and rich and fill you with life. The water is crystal clear and looks super fresh.
mizu,B6,An idyllic lake surrounded by mountains reflects in its clear water the clouds of the sky above it. The surrounding countryside is marked by farmland.
nibe,B1,I really like the alps during autumn  when the grass and the trees have this redish look.
nibe,B2,A view on the urban landscape of the city. It's interesting how the few tall buildings stand out.
nibe,B3,The Seealpsee is one of the most beautiful mountain lakes in Switzerland. I love to jump in the freezing water on a hot summers day after long hiking.
nibe,B4,If you want to see the freates viewpoint of Zurich  go to the southern side of the Käferberg. On clear days the view extends until the alps!
nibe,B5,Found this little spot on the lake promenade. Surrounded by flowers  you can have a look at the near town and the mighty mountains.
nibe,B6,Fantastic view over the Vierwaldstättersee! On clear days you get the feeling of seeing whole Switzerland!
nsteinm,B1,Here you can see the three gorgeous mountains Eiger Mönch and Jungfrau in the Bernese Highlands. This is among the most popular tourist spots and offers many great opportunities for hiking skiing paragliding and mountaineering. The many ice fields and glacier are very impressive
nsteinm,B2,The streets of Basel are bustling with life. The iconic green trams filled with workers shoppers and tourists the many construction sites at every corner with their distincitve urban noise. The sun shines through the slightly February sky and serves as the first messenger of spring
nsteinm,B3,Among the tall mountain slope you can find a remote alpine lake with wonderful teal water surrounded by green meadows and a dense plot of spruce forest that seems to slowly grow into the water. You can hear the splashing of water in the creek while the cowbells ring in the background 
nsteinm,B4,The Alps emerge from the morning fog and almost seem close enough to touch. Then you remember that you are in a big city as the rumble of the streets meets your ear. Clear blue skies resonate with the soft ripples on Lake Zurich that shines in a almost silver-blue color
nsteinm,B5,I was totally blown away by the vivid bright colors of this bed of flowers next to the lake. They contrast with the pristine and majestic landscape of the towering grey-blue mountains that reach for the clouds. The city at the lakeside looks very pleasant and invites you to have a coffee or taking a stroll while taking in this beatiful scenery of lakes and snowy peaks
nsteinm,B6,nsteinmB6This place is completely underrated I was expecting a very good view but this was beyond my imaginations. You could see the entire lake Lucerne from this vantage point on mount Pilatus. You can see a large part of the Alpine peaks of eastern and central Switzerland and many of the green fields and forests around Lucerne
pasc,B1,Wonderful scenery with alps. It’s very green and beautiful. Good weather. The white snowcover of the alps is impressive.
pasc,B2,Here is a city with seemingly more construction sites as inhabitants. The skyline consists  like in every grat sity  of three sqares in the distance. The clouds in the distance  at least cover some parts of the city.
pasc,B3,Wonderful scenery with a lake bluer than a smurf. A visit is very recommended  as this beautiful scenery in the middle of the swiss alps is one of ist kind. 10/10 cows.
pasc,B4,The swiss city of Zürich. The mountain are very beautiful too. As I ran out of ideas what to write  you will have to go and visit the city yourself to experience ist beauty.
pasc,B5,Plants in front of a city  a lake and mountains. A very pretty sight too was the waterbird at the right of the picture  which we enjoyed cooked in the traditional way shortly after this beautiful day. Take a look yourself!
pasc,B6,The mighty Vierwaldstättersee in all ist glory. This lake isnt' only very nice looking  but is around it's shores a lot of history took place. It was a beautiful day.
roba,B1,Wandering in the Alps. We're going to the glacier
roba,B2,Just moved into the new apartment. Big City Life
roba,B3,Should we go down to swim a little bit? Looks pretty cold to me. Maybe the next time
roba,B4,Best lake ever? Some say Geneva Lake is better. I respectfully disagree.
roba,B5,Taking a walk by the lake. So colorful yet so cold. I wish I could be in that plane to fly to a warmer climate
roba,B6,Perfect combination between land  water and air. Only fire is missing. Better this way actually.
roph,B1,My view this afternoon after the beautiful hike I did. I did not use the cablecar to get to the top. So exhausted now and ready to sleep and dream about the snowy summits and the green fields. I would love to live in this beautiful country. If youever have the chance to visit Switzerland  just do it.
roph,B2,I love this view from my office. Even though Zurich is not my hometown  I really fell in love with this vibrant city. Working and living here is the best experience I had since the COVID-Situation. Quiet mornings like these are my favourite and I love the fresh air  even though I am in the middle of a city.
roph,B3,Took a swim in this very cold  very beautfiul lake in the swiss alps. After the exhausting hike to the summit  the refreshing experience was exactly what I needed. I've never seen nature that pure and intact like today on this hike. Makes me want to explore more of this extraordinary country.
roph,B4,On my unforgettable trip to Switzerland this summer I took this picture. I think it nicely shows the variety that this beautiful country offers on such a small space. On this picture you can see a vibrant city  a stunning lake and the snowy peaks of the alps. Every time I think back of this summer I feel jealous of the people that live in Switzerland and can experience all of that in front of there doorstep.
roph,B5,Imagine swimming in this lake (I've never seen a cleaner lake by the way) and being surrounded by the swiss alps and their snowy peaks. Even though the water could've been a little bit warmer for my taste it was a early autumn day with great views  tasty food and awesome people. The city was a bit expensive but worth every penny!
roph,B6,Can you believe that I walked all the way up here from that city that you can see on the left side of the picture? Starting this morning at 8 AM and slowly making my way up to the summit and to this stunning  incredible view. It was worth the sore muscles that I will definitely have tomorrow. Also: The difference in the temperature is incredible. Up here there is still snow!
sema,B1,Look at those big mountains and green meadows. Only a few buildings  but a lot of nature. It's perfect weather for a hike  because the sun is shining all the time.
sema,B2,I'm in this big city and the only thing I can see are buildings. Not much nature to see here  but at least the weather is good and one have a great overview of the city.
sema,B3,Look at this beautiful lake surrounded by mountains. Such a tranquil and lovely place to be.
sema,B4,What a view! Am I dreaming? Everything you want to see in one view. I cam absolutely recommand this place.
sema,B5,Today I went out for a walk with my dog. Glad I had the camera with me. I just had to take a picture of this absolutly stunning scenery.
sema,B6,Mount Pilatus. What do you want more? One of the best places to visit in switzerland and just a few minutes away from the beautiful city of lucerne.
sesc,B1,New shot of the day! Today the hiking trip was absolutly fantastic. As you see  we had a wonderful view  and almost touched snow today!
sesc,B2,Shot of the Day! Today I took my drone out to fly around at the Hardbrücke in Zürich. I got many cool pictures  but this one was one of my favourites. Which one is your favorite?
sesc,B3,Another hiking trip  another insane shot with my Nikon! Just look at those colors! Thanks to @friend for inviting me to all those cool hiking spots.
sesc,B4,TBT Thursday! A year back on this day the Stratosphere was so clear  that I was able to look into the alps from Zurich! The Waid Restaurant  always has a big view  but this? Had to capture it.
sesc,B5,What a day! Visiting a new city can always be boring  but visiting the old town of Sarnen was amazing! Besides all the petite and cute little shops and restaurants  the city has a view to offer! The lake just around the corner  and the beautiful weather allowed me to take this brilliant shot  with a lot of different colors  to brighten up your day  my dear followers.
sesc,B6,Can anyone guess where this is? It almost looks like a dream-wonderland to me. Just WOW! Something about crystal clear atmosphere and the wide angle on my Nikon drives me crazy. The Vierwaldstättersee  as it is called in swiss german  is one of the biggest and most beautiful lakes in switzerland  and definitly worth a visit.
sidi,B1,Beautiful view over the mountains of Switzerland. Calm and peaceful antmosphere to free your mind.  
sidi,B2,Chill coffee break on the rooftop. Best break from work ever. I wish there would be less construction noice to really relax.  
sidi,B3,Spending the day in nature with this beautiful view. After hiking  will probably go for a swim. Don't care if it's cold. 
sidi,B4,Choose the best day to walk by the Waid in Zurich. Incredible view over Zurich and the mountains from up here. 
sidi,B5,The beautiful colors of these plants really come alive in contrast to the blue of the lake. Love this combination. 
sidi,B6,Best hiking route in Switzerland. The view over the Vierwaldstädtersee really captures the beautiful variety of nature we find in Switzerland. 
sowa,B1,After getting of the train from Schynige  we walked for such a long time towards this place. But finally we made it to this beautiful places!
sowa,B2,The residential areas are really peaceful. Far from there are some tall bulidings  maybe with many people busy working in it. Some buildings are still in construction. The weather is not so good thus the mountains are not clear to see.
sowa,B3,The lake is so beautiful  just like a gemstone inside the mountains. If it's possible  I want to be on a paraglider  which may be a much better way to enjoy the scenery.
sowa,B4,The city of Zürich and the lake  as well as the mountains are easy to be contained in one picture. The city is dynamic and busy  the water is moving  while the mountains are quiet and static. Snow on the mountains seems like ice cream.
sowa,B5,Mountains looks like the shelter of the town. Under the tall mountains  the town is very safe  peace and quiet. It seems that it is isolated with other parts of the world  only consisted by happy life  peaceful lake  beautiful flowers and tall mountains.
sowa,B6,Mountains separate the lake as several parts  with several villages near the lake under the mountains. The upperpart of the mountains are still filled with snow  while under the mountains  spring is coming.
tope,B1,Autumun lights showing the contrasting green and white colors in the mountains.
tope,B2,A calm morning in the streets of the big city in continuous renovation.
tope,B3,The varying colors of the lake enclosed by the steep mountains.
tope,B4,The contrast of the crowdy big city and the magnificient calm snowy mountains
tope,B5,The last colors of the nature and the city before the arrival of the winter.
tope,B6,A calm lake within the nervous up and downs of the green and white mountains.
urbe,B1,Stunning view on Swiss mountains. Eiger  Mönch and Junfrau on a sunny day  while autumn becomes visible on the meadows. Eiger Northface looks very impressive.
urbe,B2,Nice view on the rooftops of Zurich. The sun is shining and the streets are emty. What a beautiful day.
urbe,B3,What a nice emerald lake in the mountains. It is placed in the valley bottom between steep slopes where you can literaly see its formation through the glacier  which is also the reason for the intense colour.
urbe,B4,A sweet summer day in Zurich. The mountains seem within reach and the lake is just stunning. I really love to walk around on Hönggerberg during the summer season.
urbe,B5,A sunny day on the lake side. The sun and the southern flair in the summer heat just invites to stroll around and listen to the birds and the sound of the water.
urbe,B6,In the heart of Switzerland the Vierwaldstättersee is embedded into the round and lovely hills of the Pre-Alps. This view makes up for every effort of the hike.
ylhe,B1,x
ylhe,B2,Streets in the afternoon. People working to make a live miss the sunshine.
ylhe,B3,The lake where faires live. Blue tears among the mountains. A dream place for me.
ylhe,B4,A view over the whole city  surrounded with moutains and rivers. Numerous people live  work and love there.
ylhe,B5,Sitting by the lake  enjoying the ripples in the water  the flowers around and mountains in the cloud.
ylhe,B6,Shadows of clouds walk slowly among the mountains.
